Date,Strategy,Benchmark,Rebalanced
2025-01-02,0.9689381448966379,0.9986924491170406,0.9689381448966379
2025-01-03,1.0121321402726777,1.0056850052525004,1.0121321402726777
2025-01-06,1.014436185457386,1.0087691196233415,1.014436185457386
2025-01-07,0.9896946401195307,1.0005218578572366,0.9896946401195307
2025-01-08,0.9910775491566624,1.0018463855388198,0.9910775491566622
2025-01-10,0.9852631166677585,0.9905985358244563,0.9852631166677585
2025-01-13,0.9962230272358925,0.9911306562000058,0.9962230272358925
2025-01-14,0.9881906308155103,0.992227573282437,0.9881906308155104
2025-01-15,1.0348811310572619,1.0062332975483628,1.0348811310572619
2025-01-16,1.0172874130368017,1.005857099600651,1.017287413036802
2025-01-17,1.0359935023036684,1.012028119558314,1.0359935023036686
2025-01-21,1.0364918522639524,1.0187678144557757,1.0364918522639524
2025-01-22,1.026859043230129,1.0213568160428297,1.0268590432301292
2025-01-23,1.02485021619421,1.024077666643822,1.0248502161942101
2025-01-24,1.0171446563553652,1.0230815521408145,1.0171446563553654
2025-01-27,1.0021056976941727,1.0165568663084874,1.002105697694173
2025-01-28,1.0057641080481834,1.0215731434041444,1.0057641080481838
2025-01-29,0.9929437958801071,1.0185994795171307,0.9929437958801075
2025-01-30,1.0090822020580277,1.0224428879618237,1.0090822020580281
2025-01-31,1.0126377854091322,1.0186135319238643,1.0126377854091326
2025-02-03,0.9845964831029462,1.0148678153337376,0.9845964831029467
2025-02-04,0.9977956766604584,1.019515210658139,0.9977956766604589
2025-02-05,0.9821719517896438,1.0240832636127877,0.9821719517896442
2025-02-06,0.9779800996246025,1.0257676142477155,0.9779800996246029
2025-02-07,0.95811096086491,1.018890057115054,0.9581109608649103
2025-02-10,0.94568945946848,1.023154408878838,0.9456894594684804
2025-02-11,0.9156217054486339,1.0229426707779286,0.9156217054486342
2025-02-12,0.9249619128811557,1.018869620272867,0.924961912881156
2025-02-13,0.9557019158922668,1.0277622036310028,0.9557019158922672
2025-02-14,0.9561615230684167,1.0290394906298008,0.9561615230684172
2025-02-18,0.953967501311275,1.02931994324451,0.9539675013112754
2025-02-19,0.9635936024074738,1.0313440789359056,0.9635936024074743
2025-02-20,0.9543994025480711,1.0292828315996403,0.9543994025480715
2025-02-21,0.927993315426905,1.0205382924665491,0.9279933154269054
2025-02-24,0.9169955773864729,1.0183128926890428,0.9169955773864733
2025-02-25,0.8783192676360267,1.017845677242361,0.8783192676360272
2025-02-26,0.8613118184935536,1.018764650299549,0.8613118184935542
2025-02-27,0.8438700319714176,1.0085084295802407,0.8438700319714182
2025-02-28,0.8650403061113231,1.0196563278237836,0.8650403061113235
2025-03-03,0.8485943443162296,1.0098762520684719,0.8485943443162302
2025-03-04,0.8263004454702498,1.001551683825643,0.8263004454702504
2025-03-05,0.8391013737976131,1.0065911492535224,0.8391013737976136
2025-03-06,0.8109697459187172,0.9955400578703815,0.8109697459187176
2025-03-07,0.8109552376882817,0.9984519417391923,0.8109552376882823
2025-03-10,0.7426807685246714,0.9843555016376888,0.7426807685246719
2025-03-11,0.7543529199972578,0.9779425401952697,0.7543529199972584
2025-03-12,0.783886503263073,0.9802532763920766,0.7838865032630736
2025-03-13,0.7695180210958591,0.9735959939769234,0.7695180210958598
2025-03-14,0.788774964927689,0.9847035868852733,0.7887749649276896
2025-03-17,0.7719311959781494,0.9897995815510402,0.7719311959781501
2025-03-18,0.749002497959656,0.983814287603529,0.7490024979596566
2025-03-19,0.7694361526335349,0.9914269682491925,0.7694361526335355
2025-03-20,0.7694840367264674,0.9898690101510266,0.769484036726468
2025-03-21,0.7897087429964968,0.9897410138460666,0.7897087429964976
2025-03-24,0.84038246043331,0.9986480946381654,0.8403824604333108
2025-03-25,0.8559120090440148,1.000580958427431,0.8559120090440155
2025-03-26,0.8285892529854891,0.992537772277139,0.8285892529854899
2025-03-27,0.829490356858872,0.9907929391138597,0.8294903568588727
2025-03-28,0.8108875398858368,0.9811043002934873,0.8108875398858376
2025-03-31,0.8060545867533685,0.9857517570255161,0.8060545867533693
2025-04-01,0.8217067362984297,0.9886610364330203,0.8217067362984305
2025-04-02,0.8450173739987675,0.9920919584208202,0.8450173739987683
2025-04-03,0.810268879984671,0.9648122531823997,0.8102688799846718
2025-04-04,0.7539559317750574,0.9312364898303301,0.7539559317750582
2025-04-07,0.7420677620115131,0.9257503770513816,0.7420677620115138
2025-04-08,0.7195474825052429,0.914917953686861,0.7195474825052436
2025-04-09,0.8241873886951396,0.9734263213225541,0.8241873886951403
2025-04-10,0.7820614321208214,0.9447262826706885,0.7820614321208218
2025-04-11,0.7859347221714146,0.954420966365803,0.785934722171415
2025-04-14,0.7891793505345719,0.9621500282082189,0.7891793505345723
2025-04-15,0.7916604781848614,0.9614894634476956,0.7916604781848618
2025-04-16,0.7672526000744303,0.9497255569080826,0.7672526000744309
2025-04-17,0.766957913782019,0.9497037705796388,0.7669579137820195
2025-04-21,0.7386005738905466,0.9340488996295664,0.7386005738905469
2025-04-22,0.7616272895536991,0.9493021971519954,0.7616272895536995
2025-04-23,0.7859188524441407,0.9589151532616381,0.7859188524441411
2025-04-24,0.8055145145638621,0.9731937816050458,0.8055145145638625
2025-04-25,0.8472733366326181,0.9786937353793652,0.8472733366326183
2025-04-28,0.8491696324974202,0.9798804279768283,0.8491696324974204
2025-04-29,0.860348215363069,0.9845993038668914,0.8603482153630693
2025-04-30,0.8457946592927879,0.9845659261530548,0.8457946592927881
2025-05-01,0.8446637977001199,0.9876557659687318,0.8446637977001202
2025-05-02,0.8576649462471373,0.9945057718685019,0.8576649462471377
2025-05-05,0.8455765434261302,0.9905368540755106,0.8455765434261306
2025-05-06,0.8364220256245473,0.9864427023507156,0.8364220256245477
2025-05-07,0.8391205452085995,0.9896909929751921,0.8391205452085998
2025-05-08,0.8530395702625198,0.9917106004985751,0.8530395702625201
2025-05-09,0.8729811595484707,0.9912806843707856,0.872981159548471
2025-05-12,0.9104793595635942,1.0095702880373802,0.9104793595635946
2025-05-13,0.9346422064299943,1.0134030791448039,0.9346422064299948
2025-05-14,0.9533927844028742,1.0127784399773725,0.9533927844028748
2025-05-15,0.9491585963495127,1.0179395295301337,0.9491585963495134
2025-05-16,0.9610051119738573,1.0220891960453764,0.9610051119738579
2025-05-19,0.9504348622154091,1.0226471186851462,0.9504348622154096
2025-05-20,0.9515384615942019,1.01985030481205,0.9515384615942025
2025-05-21,0.9328134166946451,1.0070010189880991,0.9328134166946459
2025-05-22,0.9423914503755214,1.008360283821968,0.9423914503755223
2025-05-23,0.9384005734381229,1.0048462574824426,0.9384005734381238
2025-05-27,0.9776997005065187,1.0192740430520948,0.9776997005065196
2025-05-28,0.9675022790443966,1.0148365398049375,0.9675022790443976
2025-05-29,0.9714168956182734,1.0186982971136416,0.9714168956182744
2025-05-30,0.9552449609059612,1.0188002548627169,0.9552449609059623
2025-06-02,0.9512405433088341,1.0213445977330282,0.9512405433088352
2025-06-03,0.9548505033659174,1.0243876560089193,0.9548505033659184
2025-06-04,0.9390158656602062,1.0267731105088445,0.9390158656602072
2025-06-05,0.8703416650542427,1.0230053475677803,0.8703416650542436
2025-06-06,0.8880456978606163,1.0271104254810306,0.8880456978606173
2025-06-09,0.9087760507448172,1.0282915694276749,0.908776050744818
2025-06-10,0.9364573670083918,1.0325858865361275,0.9364573670083927
2025-06-11,0.9367388391751523,1.0321299965577406,0.9367388391751531
2025-06-12,0.9280486991599219,1.0361247555812139,0.9280486991599227
2025-06-13,0.9332900910222562,1.0276973667425353,0.933290091022257
2025-06-16,0.9410741703833597,1.0327724187771945,0.9410741703833605
2025-06-17,0.9209874906682224,1.028786746644227,0.9209874906682232
2025-06-18,0.9293442397173046,1.028919879181684,0.9293442397173055
2025-06-20,0.9289758234265028,1.0277526073288934,0.9289758234265036
2025-06-23,0.9704237523651594,1.0348587884632534,0.9704237523651603
2025-06-24,0.9627996018917202,1.0429647205969736,0.9627996018917211
2025-06-25,0.944746098292499,1.0434293427599617,0.9447460982925
2025-06-26,0.9449522682596568,1.0495231554699147,0.9449522682596577
2025-06-27,0.9428055463235762,1.051680944276643,0.942805546323577
2025-06-30,0.9362075040929632,1.0563613265657184,0.936207504092964
2025-07-01,0.9109987589300369,1.0558395619547651,0.9109987589300377
2025-07-02,0.9346693379759115,1.058250875658888,0.9346693379759122
2025-07-03,0.9359757993998757,1.0622150195761717,0.9359757993998765
2025-07-07,0.9014955368405977,1.0560702630468304,0.9014955368405985
2025-07-08,0.9071829261275441,1.0554912624476864,0.9071829261275449
2025-07-09,0.9065981596901539,1.060970766792898,0.9065981596901547
2025-07-10,0.9288231929785351,1.0628241394603173,0.928823192978536
2025-07-11,0.932536660110071,1.0588376560293011,0.9325366601100719
2025-07-14,0.9380866242187049,1.0599917245545383,0.9380866242187058
2025-07-15,0.9272587455415957,1.0559924195951147,0.9272587455415966
2025-07-16,0.9447925714136358,1.058925664366483,0.9447925714136367
2025-07-17,0.9432600960177252,1.0629303282419456,0.9432600960177262
2025-07-18,0.9584841001664538,1.063164671041363,0.9584841001664547
2025-07-21,0.9578955679139708,1.0656002184418598,0.9578955679139718
2025-07-22,0.9635294174873449,1.066391815099291,0.9635294174873458
2025-07-23,0.9662463753957478,1.0709608620831117,0.9662463753957486
2025-07-24,0.92650241421068,1.070645515720748,0.9265024142106809
2025-07-25,0.9444607702167984,1.0744161765119387,0.9444607702167993
2025-07-28,0.9583185348943672,1.0735489596517334,0.958318534894368
2025-07-29,0.9520973578672473,1.074085347695981,0.952097357867248
2025-07-30,0.9480432802707234,1.0721613325821597,0.9480432802707242
2025-07-31,0.9310004329897885,1.069806705808531,0.9310004329897893
2025-08-01,0.9195189490637928,1.0629928593631848,0.9195189490637935
2025-08-04,0.933909253383698,1.0729761482358078,0.9339092533836988
2025-08-05,0.9317495313089649,1.069887059848909,0.9317495313089657
2025-08-06,0.9506251598179507,1.0744555679513146,0.9506251598179515
2025-08-07,0.9538151597260396,1.073740349990003,0.9538151597260405
2025-08-08,0.9665527971243485,1.0778299570154626,0.9665527971243493
2025-08-11,0.9798623953223781,1.076844720379396,0.9798623953223788
2025-08-12,0.9856341367639843,1.0837817163053605,0.9856341367639851
2025-08-13,0.9852597470282193,1.0876007643657601,0.9852597470282202
2025-08-14,0.9792101595886408,1.0864226254919302,0.9792101595886417
2025-08-15,0.970932041306419,1.0843056192308411,0.9709320413064199
2025-08-18,0.9774127348277505,1.0836915008444443,0.9774127348277514
2025-08-19,0.9676649586340967,1.0809912541617266,0.9676649586340975
2025-08-20,0.9590767483627047,1.079562098204251,0.9590767483627055
2025-08-21,0.9518418298482539,1.0759066062635485,0.9518418298482547
2025-08-22,0.9867732044910921,1.087990356477516,0.986773204491093
2025-08-25,0.9947654297721101,1.084527213533736,0.9947654297721109
2025-08-26,1.003533723906135,1.0877819164666633,1.003533723906136
2025-08-27,1.0014567943424475,1.0896822589755764,1.0014567943424484
2025-08-28,0.997580131460363,1.0925291952462752,0.997580131460364
2025-08-29,0.9780936257724565,1.088087537778604,0.9780936257724575
2025-09-02,0.9688955522175134,1.0823207993207857,0.9688955522175143
2025-09-03,0.9780616804184895,1.0872557031183727,0.9780616804184904
2025-09-04,0.9877568201938537,1.094361323422468,0.9877568201938547
2025-09-05,1.005792909184763,1.094532260490882,1.005792909184764
2025-09-08,1.000819913107129,1.0975604380863542,1.0008199131071298
2025-09-09,1.0019613397133227,1.0982578996549284,1.0019613397133238
2025-09-10,1.0043645479660799,1.1009306970995867,1.0043645479660808
2025-09-11,1.0376512240795819,1.1073659836552563,1.037651224079583
2025-09-12,1.0754621773205846,1.1066096927252707,1.0754621773205857
2025-09-15,1.0967330592634734,1.110975550870082,1.0967330592634745
2025-09-16,1.1117959292788653,1.110117325405633,1.1117959292788664
2025-09-17,1.1165849887457473,1.1085171705601002,1.1165849887457484
2025-09-18,1.1057694617842122,1.1104954632813302,1.105769461784213
2025-09-19,1.1197305021707702,1.113974642463856,1.1197305021707713
2025-09-22,1.1315946318776968,1.1162986615967543,1.131594631877698
2025-09-23,1.119310184044276,1.1135543272039583,1.1193101840442772
2025-09-24,1.140053374586205,1.1105309934073333,1.140053374586206
2025-09-25,1.11325531577971,1.1069785629508664,1.1132553157797112
2025-09-26,1.137531570455236,1.1107837137003844,1.1375315704552371
2025-09-29,1.1427022188912355,1.1137944263252557,1.1427022188912366
