Date,TSLA,BND,SPY
2015-01-02,14.620667457580566,59.405391693115234,169.6878662109375
2015-01-05,14.005999565124512,59.57794189453125,166.6233367919922
2015-01-06,14.085332870483398,59.75041961669922,165.05389404296875
2015-01-07,14.063332557678223,59.786338806152344,167.1107177734375
2015-01-08,14.041333198547363,59.692935943603516,170.07606506347656
2015-01-09,13.77733325958252,59.79352569580078,168.713134765625
2015-01-12,13.480667114257812,59.87256622314453,167.39151000976562
2015-01-13,13.616666793823242,59.93008804321289,166.92071533203125
2015-01-14,12.845999717712402,60.066627502441406,165.91299438476562
2015-01-15,12.791333198547363,60.33261489868164,164.3931121826172
2015-01-16,12.871333122253418,60.152931213378906,166.54901123046875
2015-01-20,12.795332908630371,60.08823776245117,166.90415954589844
2015-01-21,13.104666709899902,59.973201751708984,167.74673461914062
2015-01-22,13.441332817077637,59.98757553100586,170.24134826660156
2015-01-23,13.419333457946777,60.18165588378906,169.30789184570312
2015-01-26,13.770000457763672,60.10979080200195,169.70436096191406
2015-01-27,13.732000350952148,60.14574432373047,167.4658660888672
2015-01-28,13.291333198547363,60.36135482788086,165.31817626953125
2015-01-29,13.680000305175781,60.29667663574219,166.84637451171875
2015-01-30,13.573332786560059,60.627323150634766,164.74832153320312
2015-02-02,14.062666893005371,60.555301666259766,166.78851318359375
2015-02-03,14.557332992553711,60.368019104003906,169.20050048828125
2015-02-04,14.569999694824219,60.38963317871094,168.55621337890625
2015-02-05,14.732666969299316,60.259986877441406,170.25779724121094
2015-02-06,14.490667343139648,59.871097564697266,169.78697204589844
2015-02-09,14.498666763305664,59.8494873046875,169.0270538330078
2015-02-10,14.419333457946777,59.74140548706055,170.82772827148438
2015-02-11,14.186667442321777,59.74140548706055,170.92689514160156
2015-02-12,13.525333404541016,59.77023696899414,172.5706787109375
2015-02-13,13.584667205810547,59.633419036865234,173.281005859375
2015-02-17,13.623332977294922,59.395694732666016,173.5535888671875
2015-02-18,13.630666732788086,59.561336517333984,173.57012939453125
2015-02-19,14.11400032043457,59.510982513427734,173.44619750976562
2015-02-20,14.473999977111816,59.52537155151367,174.48699951171875
2015-02-23,13.822667121887207,59.64778137207031,174.4622344970703
2015-02-24,13.607333183288574,59.89268112182617,174.9578094482422
2015-02-25,13.583999633789062,59.95029067993164,174.80914306640625
2015-02-26,13.812666893005371,59.78465270996094,174.60263061523438
2015-02-27,13.555999755859375,59.83507537841797,174.00790405273438
2015-03-02,13.155332565307617,59.64166259765625,175.10650634765625
2015-03-03,13.303999900817871,59.56950378417969,174.38783264160156
2015-03-04,13.496000289916992,59.56950378417969,173.6527557373047
2015-03-05,13.375332832336426,59.6055908203125,173.8426513671875
2015-03-06,12.925333023071289,59.25923156738281,171.39767456054688
2015-03-09,12.725333213806152,59.331382751464844,172.1080780029297
2015-03-10,12.687999725341797,59.562313079833984,169.3161163330078
2015-03-11,12.916000366210938,59.627262115478516,168.91961669921875
2015-03-12,12.73799991607666,59.670570373535156,171.06727600097656
2015-03-13,12.578666687011719,59.612796783447266,170.01820373535156
2015-03-16,13.046667098999023,59.72826385498047,172.28976440429688
2015-03-17,12.982000350952148,59.778785705566406,171.77767944335938
2015-03-18,13.380666732788086,60.14676284790039,173.8426513671875
2015-03-19,13.043333053588867,59.96641540527344,173.04971313476562
2015-03-20,13.20533275604248,60.12516784667969,174.57723999023438
2015-03-23,13.308667182922363,60.15399169921875,174.23703002929688
2015-03-24,13.447999954223633,60.255069732666016,173.25799560546875
2015-03-25,12.953332901000977,60.16120529174805,170.71905517578125
2015-03-26,12.694000244140625,59.96641540527344,170.31251525878906
2015-03-27,12.333333015441895,60.024105072021484,170.70254516601562
2015-03-30,12.704667091369629,60.09626770019531,172.7850341796875
2015-03-31,12.584667205810547,60.16120529174805,171.2749481201172
2015-04-01,12.505999565124512,60.400657653808594,170.66932678222656
2015-04-02,12.733332633972168,60.32109451293945,171.28329467773438
